src,dst,rel,label
5366,7868,protein_protein,2
321,16793,protein_protein,1
12313,3441,protein_protein,1
6813,2493,protein_protein,1
9449,5224,protein_protein,1
1126,444,protein_protein,1
401,5572,protein_protein,1
5163,12446,protein_protein,1
96,7249,protein_protein,1
7158,11751,protein_protein,1
6830,12284,protein_protein,1
748,7116,protein_protein,1
7510,11464,protein_protein,1
12586,6386,protein_protein,1
10579,932,protein_protein,1
6185,11281,protein_protein,1
14154,2835,protein_protein,1
3216,769,protein_protein,1
16055,1313,protein_protein,1
10285,2814,protein_protein,1
5366,6132,protein_protein,2
6337,9355,protein_protein,1
6518,3192,protein_protein,1
1026,9651,protein_protein,2
8334,9933,protein_protein,1
722,2672,protein_protein,1
2132,1112,protein_protein,1
1263,6136,protein_protein,1
2657,2987,protein_protein,1
13446,14319,protein_protein,1
11035,7846,protein_protein,1
2435,6572,protein_protein,1
1977,623,protein_protein,2
6428,6326,protein_protein,1
7321,7347,protein_protein,2
6014,16176,protein_protein,1
8134,14104,protein_protein,1
1254,12435,protein_protein,1
7476,397,protein_protein,2
13301,11203,protein_protein,1
3060,6325,protein_protein,1
3312,16673,protein_protein,1
3694,895,protein_protein,1
4259,6895,protein_protein,1
6439,398,protein_protein,1
7377,1133,protein_protein,1
7619,5982,protein_protein,1
12649,6032,protein_protein,1
1795,892,protein_protein,1
10753,2636,protein_protein,1
205,1375,protein_protein,1
350,3984,protein_protein,1
1003,5626,protein_protein,1
10537,17017,protein_protein,1
54,4145,protein_protein,1
12123,2260,protein_protein,1
5545,638,protein_protein,1
8895,11350,protein_protein,1
505,11481,protein_protein,2
7358,17832,protein_protein,1
7504,5811,protein_protein,1
1681,4158,protein_protein,1
3336,1090,protein_protein,1
6625,6062,protein_protein,2
4925,5978,protein_protein,1
11784,10058,protein_protein,1
12480,2016,protein_protein,1
3140,11278,protein_protein,1
3993,16706,protein_protein,2
9394,3784,protein_protein,1
1307,836,protein_protein,1
14312,1555,protein_protein,1
12469,16714,protein_protein,1
1565,2060,protein_protein,1
1704,1410,protein_protein,1
12171,4763,protein_protein,1
7314,5647,protein_protein,1
4246,8823,protein_protein,1
8532,3335,protein_protein,1
431,2059,protein_protein,1
3590,12276,protein_protein,1
2616,1406,protein_protein,2
7201,11658,protein_protein,1
7277,3040,protein_protein,1
4737,4424,protein_protein,1
2043,1947,protein_protein,1
3590,2147,protein_protein,1
847,10537,protein_protein,1
2506,7373,protein_protein,1
6,7977,protein_protein,1
6560,37,protein_protein,1
134,8040,protein_protein,1
7358,6103,protein_protein,1
2186,46,protein_protein,1
12461,3652,protein_protein,1
3813,10981,protein_protein,1
151,2173,protein_protein,1
1383,16601,protein_protein,1
695,1629,protein_protein,1
355,1145,protein_protein,1
6282,3808,protein_protein,1
7328,7309,protein_protein,2
3601,10138,protein_protein,1
13387,12185,protein_protein,1
7450,11728,protein_protein,1
28,8829,protein_protein,1
10954,17246,protein_protein,1
7323,3143,protein_protein,1
8274,598,protein_protein,1
644,14051,protein_protein,2
10410,10539,protein_protein,1
5327,5792,protein_protein,1
9196,7044,protein_protein,1
6458,7325,protein_protein,1
12677,16943,protein_protein,1
11893,11662,protein_protein,1
9110,7784,protein_protein,1
8846,4741,protein_protein,1
244,74,protein_protein,1
7750,9183,protein_protein,1
2000,4749,protein_protein,1
13482,274,protein_protein,1
887,9637,protein_protein,1
2994,14914,protein_protein,1
4430,14698,protein_protein,1
798,1078,protein_protein,1
3529,768,protein_protein,1
728,11889,protein_protein,1
1141,13375,protein_protein,1
192,8861,protein_protein,1
342,6602,protein_protein,1
6170,3185,protein_protein,2
12671,11481,protein_protein,1
5449,18267,protein_protein,1
11257,290,protein_protein,1
1681,589,protein_protein,1
4394,3314,protein_protein,1
2304,3195,protein_protein,1
2476,6039,protein_protein,1
6583,388,protein_protein,2
3296,2951,protein_protein,1
6498,12030,protein_protein,1
3675,11834,protein_protein,1
9467,4746,protein_protein,1
2396,14970,protein_protein,1
9522,10573,protein_protein,1
11138,11307,protein_protein,1
13524,9571,protein_protein,1
5756,4128,protein_protein,1
1124,6552,protein_protein,1
7483,11121,protein_protein,1
1720,5871,protein_protein,1
5903,16991,protein_protein,1
3192,3939,protein_protein,1
431,10373,protein_protein,2
769,6858,protein_protein,1
12012,3895,protein_protein,1
13088,12508,protein_protein,1
8727,1088,protein_protein,1
5366,14335,protein_protein,2
7169,5366,protein_protein,1
1773,3437,protein_protein,1
4818,11757,protein_protein,1
14336,6390,protein_protein,1
7907,14147,protein_protein,1
14842,4160,protein_protein,1
12612,6843,protein_protein,1
5665,7593,protein_protein,1
5366,709,protein_protein,2
5259,11029,protein_protein,1
195,12330,protein_protein,1
1741,9461,protein_protein,1
3917,460,protein_protein,1
6908,15302,protein_protein,1
1066,2306,protein_protein,1
431,823,protein_protein,2
852,3969,protein_protein,1
4522,6543,protein_protein,2
12457,2618,protein_protein,1
6366,947,protein_protein,1
7865,11449,protein_protein,1
3154,4213,protein_protein,1
7816,7920,protein_protein,1
2285,10598,protein_protein,1
96,11761,protein_protein,1
15117,370,protein_protein,1
8675,10964,protein_protein,1
13409,2375,protein_protein,1
136,5805,protein_protein,1
4550,2161,protein_protein,1
352,6762,protein_protein,2
13875,14632,protein_protein,1
971,9991,protein_protein,1
5909,6103,protein_protein,1
5982,4135,protein_protein,1
4158,6078,protein_protein,1
185,2917,protein_protein,1
47,4059,protein_protein,1
4769,7399,protein_protein,1
644,16346,protein_protein,2
8801,6682,protein_protein,1
4093,16296,protein_protein,1
13151,6261,protein_protein,1
1071,4429,protein_protein,1
6696,11328,protein_protein,1
8727,6108,protein_protein,1
1672,1987,protein_protein,1
1686,9708,protein_protein,1
6241,6803,protein_protein,1
10268,2158,protein_protein,1
12022,670,protein_protein,1
2009,10326,protein_protein,1
1979,15852,protein_protein,1
12024,443,protein_protein,1
6307,3051,protein_protein,1
7376,8988,protein_protein,1
2553,12186,protein_protein,1
6363,347,protein_protein,1
431,11515,protein_protein,2
5053,15738,protein_protein,1
1312,1274,protein_protein,1
4771,11783,protein_protein,1
15939,15423,protein_protein,1
1772,3559,protein_protein,1
7950,4053,protein_protein,1
4770,17001,protein_protein,1
6039,1191,protein_protein,1
10152,8220,protein_protein,1
1399,281,protein_protein,1
2079,11327,protein_protein,1
431,4289,protein_protein,2
3830,10644,protein_protein,1
10852,15920,protein_protein,1
1124,11342,protein_protein,1
4139,1775,protein_protein,1
10298,348,protein_protein,1
5462,11836,protein_protein,1
768,11261,protein_protein,1
562,10690,protein_protein,1
1649,1424,protein_protein,1
14402,9713,protein_protein,1
1066,1687,protein_protein,1
10040,10883,protein_protein,1
2760,6776,protein_protein,1
230,3099,protein_protein,1
853,3535,protein_protein,1
1493,5765,protein_protein,1
2975,11482,protein_protein,1
6425,6425,protein_protein,1
9110,5915,protein_protein,1
8727,18517,protein_protein,1
257,257,protein_protein,1
8152,347,protein_protein,1
9358,10766,protein_protein,1
950,625,protein_protein,1
1773,10,protein_protein,1
6361,6489,protein_protein,1
10607,12190,protein_protein,1
9878,8854,protein_protein,1
9521,4372,protein_protein,1
1158,55,protein_protein,1
818,8388,protein_protein,1
7164,12860,protein_protein,1
955,3594,protein_protein,2
15699,11481,protein_protein,1
955,13621,protein_protein,2
6062,6496,protein_protein,2
12030,7033,protein_protein,1
2239,5982,protein_protein,1
7456,7808,protein_protein,1
2384,6683,protein_protein,1
5176,8533,protein_protein,1
6088,7304,protein_protein,2
158,5741,protein_protein,1
1147,3877,protein_protein,1
4789,3888,protein_protein,1
525,1989,protein_protein,1
7014,11087,protein_protein,1
6596,7822,protein_protein,1
6863,15613,protein_protein,1
5545,7006,protein_protein,1
7200,7316,protein_protein,2
13111,7355,protein_protein,1
4289,5016,protein_protein,1
1263,5608,protein_protein,1
2744,7158,protein_protein,1
6375,19293,protein_protein,1
1947,5097,protein_protein,1
7153,7648,protein_protein,1
218,9727,protein_protein,1
14032,1104,protein_protein,1
5366,10476,protein_protein,2
525,1174,protein_protein,1
764,11203,protein_protein,1
997,997,protein_protein,1
5266,13162,protein_protein,1
1169,2351,protein_protein,1
136,16261,protein_protein,1
425,1192,protein_protein,1
9577,2409,protein_protein,1
5789,4102,protein_protein,1
5909,1712,protein_protein,1
4495,3295,protein_protein,1
990,6131,protein_protein,1
6534,6585,protein_protein,2
188,14149,protein_protein,1
11946,8479,protein_protein,2
185,6580,protein_protein,1
982,6778,protein_protein,1
2657,10615,protein_protein,1
258,5834,protein_protein,1
6039,8097,protein_protein,1
470,10956,protein_protein,1
1360,5896,protein_protein,1
547,6297,protein_protein,1
1537,16132,protein_protein,1
2828,404,protein_protein,2
1404,9300,protein_protein,1
6708,6472,protein_protein,1
826,3446,protein_protein,1
401,14968,protein_protein,1
6667,7903,protein_protein,1
624,10124,protein_protein,1
858,525,protein_protein,1
2616,15471,protein_protein,2
9477,596,protein_protein,1
948,2913,protein_protein,1
13020,9157,protein_protein,1
1455,39,protein_protein,1
6172,10892,protein_protein,1
7631,891,protein_protein,1
11055,18333,protein_protein,1
4601,12104,protein_protein,1
6186,3466,protein_protein,1
12467,10041,protein_protein,1
7822,6687,protein_protein,1
9480,8104,protein_protein,1
6454,12713,protein_protein,1
4495,12096,protein_protein,1
10613,6069,protein_protein,1
3317,202,protein_protein,1
1263,15068,protein_protein,1
717,1000,protein_protein,1
12530,15261,protein_protein,1
375,14794,protein_protein,1
431,257,protein_protein,2
1335,6922,protein_protein,1
525,6379,protein_protein,1
6621,9662,protein_protein,1
622,360,protein_protein,2
1016,8122,protein_protein,1
2553,7200,protein_protein,2
134,5249,protein_protein,1
185,3032,protein_protein,2
6412,5458,protein_protein,1
1026,7391,protein_protein,1
9268,10607,protein_protein,1
7099,864,protein_protein,1
187,16139,protein_protein,1
4289,976,protein_protein,1
1263,6379,protein_protein,1
161,15360,protein_protein,2
431,7575,protein_protein,2
736,7975,protein_protein,1
6305,6889,protein_protein,1
926,349,protein_protein,2
9269,12200,protein_protein,1
5231,8294,protein_protein,1
605,3062,protein_protein,2
6090,5928,protein_protein,1
2678,12508,protein_protein,1
2812,7052,protein_protein,1
6414,932,protein_protein,1
11416,11539,protein_protein,1
4504,6051,protein_protein,1
10467,16961,protein_protein,1
5067,11980,protein_protein,1
7695,7679,protein_protein,1
12383,9533,protein_protein,1
192,6694,protein_protein,1
11867,5118,protein_protein,1
9453,1345,protein_protein,1
8248,3912,protein_protein,1
1454,3165,protein_protein,1
7737,3687,protein_protein,1
7556,7490,protein_protein,1
1363,15379,protein_protein,1
4511,7648,protein_protein,1
949,907,protein_protein,1
12522,13385,protein_protein,1
4044,12009,protein_protein,1
7508,5665,protein_protein,1
9362,3969,protein_protein,1
5064,6876,protein_protein,1
7377,360,protein_protein,1
6726,2334,protein_protein,1
13958,12101,protein_protein,1
944,5863,protein_protein,1
9729,4309,protein_protein,1
2051,6696,protein_protein,1
6858,5755,protein_protein,1
2522,13279,protein_protein,1
41,581,protein_protein,1
3085,6663,protein_protein,1
12521,1512,protein_protein,1
253,6698,protein_protein,1
2909,13611,protein_protein,1
3387,2261,protein_protein,1
2897,15034,protein_protein,1
58,2019,protein_protein,1
3590,3387,protein_protein,1
1019,4233,protein_protein,2
11278,819,protein_protein,1
11112,3730,protein_protein,1
7323,5342,protein_protein,1
9631,11089,protein_protein,1
7505,5825,protein_protein,1
1781,26,protein_protein,1
14056,7272,protein_protein,1
1357,11315,protein_protein,1
3590,314,protein_protein,1
12615,2710,protein_protein,1
11854,1582,protein_protein,1
818,2823,protein_protein,1
7166,12120,protein_protein,1
5646,891,protein_protein,1
14071,6634,protein_protein,1
11426,8614,protein_protein,1
7686,10980,protein_protein,1
2891,743,protein_protein,1
5366,16674,protein_protein,2
7323,7488,protein_protein,1
7437,7518,protein_protein,1
1739,1572,protein_protein,1
853,6829,protein_protein,1
11112,13041,protein_protein,1
909,9421,protein_protein,1
7045,8221,protein_protein,1
5461,13932,protein_protein,1
1071,17156,protein_protein,1
12006,6366,protein_protein,1
971,3387,protein_protein,1
924,409,protein_protein,1
8148,6519,protein_protein,1
3700,12078,protein_protein,1
1019,230,protein_protein,1
1402,6986,protein_protein,1
3891,143,protein_protein,1
4196,323,protein_protein,1
2635,16312,protein_protein,2
12240,828,protein_protein,1
8748,2362,protein_protein,1
431,18066,protein_protein,2
8224,7205,protein_protein,1
6689,14994,protein_protein,1
1658,6895,protein_protein,1
3991,8935,protein_protein,1
8549,5007,protein_protein,1
8368,14774,protein_protein,1
11425,16260,protein_protein,1
11909,11751,protein_protein,1
5827,1315,protein_protein,1
11976,14888,protein_protein,1
14741,7214,protein_protein,1
9051,12220,protein_protein,1
9969,6497,protein_protein,1
225,2399,protein_protein,1
5307,6050,protein_protein,1
1243,1728,protein_protein,1
3735,8470,protein_protein,1
3395,475,protein_protein,1
6951,1457,protein_protein,1
893,11637,protein_protein,1
791,790,protein_protein,1
5283,2503,protein_protein,1
3630,6018,protein_protein,1
2704,1135,protein_protein,1
973,3565,protein_protein,1
2525,6701,protein_protein,1
6705,6705,protein_protein,2
5985,3461,protein_protein,1
1106,99,protein_protein,1
10448,11017,protein_protein,1
7963,15240,protein_protein,1
1874,9318,protein_protein,1
8172,7546,protein_protein,1
7669,14934,protein_protein,1
195,16321,protein_protein,1
5433,4467,protein_protein,1
8762,1140,protein_protein,1
7028,11251,protein_protein,1
7508,12269,protein_protein,1
2934,6718,protein_protein,2
13301,12074,protein_protein,1
12171,7400,protein_protein,1
1143,7345,protein_protein,2
1141,8041,protein_protein,1
2500,8193,protein_protein,1
131,8008,protein_protein,1
2600,1912,protein_protein,1
281,15108,protein_protein,1
6418,6152,protein_protein,1
1140,11834,protein_protein,1
864,16860,protein_protein,1
7405,14567,protein_protein,1
7619,5071,protein_protein,1
8386,7573,protein_protein,1
9225,1641,protein_protein,1
7138,9697,protein_protein,1
7784,13655,protein_protein,1
2229,1654,protein_protein,1
4139,7935,protein_protein,1
6833,11920,protein_protein,1
7664,11532,protein_protein,1
248,1035,protein_protein,1
870,15154,protein_protein,2
1977,3969,protein_protein,1
4292,1106,protein_protein,1
1672,11278,protein_protein,1
16047,15851,protein_protein,1
2181,6779,protein_protein,1
6531,4267,protein_protein,1
11977,4659,protein_protein,1
7010,9793,protein_protein,1
387,5191,protein_protein,1
1012,1026,protein_protein,1
5401,6572,protein_protein,1
8756,2026,protein_protein,1
12260,15476,protein_protein,1
608,4654,protein_protein,1
2161,8413,protein_protein,1
16098,3392,protein_protein,1
1090,7659,protein_protein,1
5665,6614,protein_protein,1
662,7735,protein_protein,1
1439,4193,protein_protein,1
7210,6203,protein_protein,1
1306,6817,protein_protein,1
12,5845,protein_protein,1
6738,556,protein_protein,1
7358,1468,protein_protein,1
6022,2283,protein_protein,1
51,9728,protein_protein,1
1637,15210,protein_protein,1
605,6431,protein_protein,2
4594,256,protein_protein,1
1997,2356,protein_protein,1
9791,10935,protein_protein,1
909,7525,protein_protein,1
6878,8517,protein_protein,1
6345,6544,protein_protein,1
944,1722,protein_protein,1
11232,5457,protein_protein,1
6595,5093,protein_protein,1
4659,1989,protein_protein,1
12100,1169,protein_protein,1
1772,7030,protein_protein,1
6792,3227,protein_protein,1
2067,7323,protein_protein,2
384,7745,protein_protein,1
1770,1662,protein_protein,2
3675,3301,protein_protein,1
4258,9627,protein_protein,1
3891,6614,protein_protein,1
805,7520,protein_protein,1
15007,900,protein_protein,1
10347,16159,protein_protein,1
1418,13713,protein_protein,1
2311,15414,protein_protein,1
5909,400,protein_protein,1
6149,11354,protein_protein,1
4247,3414,protein_protein,1
9290,871,protein_protein,1
1887,5422,protein_protein,1
12328,13643,protein_protein,1
5366,2540,protein_protein,2
541,1676,protein_protein,1
13039,11812,protein_protein,1
15,434,protein_protein,1
10249,6424,protein_protein,1
2321,10856,protein_protein,1
5515,3681,protein_protein,2
5400,120,protein_protein,1
2594,16305,protein_protein,1
435,11373,protein_protein,1
3304,16172,protein_protein,1
6755,961,protein_protein,1
1690,89,protein_protein,1
13875,3479,protein_protein,1
6752,6774,protein_protein,1
693,8540,protein_protein,1
1454,5318,protein_protein,1
9523,12438,protein_protein,1
5847,4342,protein_protein,1
6621,6624,protein_protein,2
2798,1223,protein_protein,1
6418,1116,protein_protein,1
5328,5280,protein_protein,1
3628,2435,protein_protein,1
431,401,protein_protein,2
11946,8761,protein_protein,2
6170,7393,protein_protein,1
6315,1277,protein_protein,1
8139,3664,protein_protein,1
151,6352,protein_protein,1
9089,5230,protein_protein,1
982,1820,protein_protein,1
231,6446,protein_protein,1
204,13960,protein_protein,1
2661,10559,protein_protein,1
2786,8400,protein_protein,1
2552,14661,protein_protein,1
7434,8783,protein_protein,1
6693,14917,protein_protein,1
1770,1797,protein_protein,2
644,19668,protein_protein,2
948,9637,protein_protein,1
6697,12282,protein_protein,1
12890,16553,protein_protein,1
7201,7175,protein_protein,1
10272,8570,protein_protein,1
6155,5965,protein_protein,1
11228,14188,protein_protein,1
3272,2875,protein_protein,1
2269,7204,protein_protein,1
3543,16546,protein_protein,1
154,11305,protein_protein,1
9523,9421,protein_protein,1
3930,16857,protein_protein,1
3790,1307,protein_protein,1
5292,6047,protein_protein,1
11848,474,protein_protein,1
9743,315,protein_protein,1
9727,5581,protein_protein,1
7708,5866,protein_protein,1
1158,12087,protein_protein,1
1649,11350,protein_protein,1
11379,2268,protein_protein,1
6748,1682,protein_protein,1
7349,813,protein_protein,2
1026,18667,protein_protein,2
5695,6258,protein_protein,1
818,7131,protein_protein,1
3772,851,protein_protein,1
400,4675,protein_protein,1
9104,11724,protein_protein,1
4945,4954,protein_protein,1
9683,642,protein_protein,1
2052,10917,protein_protein,1
3222,16780,protein_protein,1
4544,5429,protein_protein,1
7799,11228,protein_protein,1
7422,1768,protein_protein,1
1414,4816,protein_protein,1
5780,15570,protein_protein,1
945,1739,protein_protein,1
1977,7573,protein_protein,1
9290,5410,protein_protein,1
1341,8111,protein_protein,1
6630,6611,protein_protein,1
829,12991,protein_protein,1
5175,14313,protein_protein,1
10091,1336,protein_protein,1
3510,296,protein_protein,1
7201,8097,protein_protein,1
8727,12177,protein_protein,1
2269,14452,protein_protein,1
2487,14440,protein_protein,1
11909,7190,protein_protein,1
5410,10704,protein_protein,1
341,1214,protein_protein,1
9898,8761,protein_protein,1
780,1179,protein_protein,1
7841,16321,protein_protein,1
4411,6797,protein_protein,1
3790,1254,protein_protein,1
2015,15370,protein_protein,1
7619,3725,protein_protein,1
73,1768,protein_protein,1
89,11670,protein_protein,1
14877,19311,protein_protein,1
1656,7848,protein_protein,1
10160,5748,protein_protein,1
2397,6363,protein_protein,1
12453,7669,protein_protein,1
8355,6612,protein_protein,1
7640,2510,protein_protein,1
7194,12998,protein_protein,1
303,4581,protein_protein,2
6633,146,protein_protein,2
4246,7902,protein_protein,1
1190,1820,protein_protein,1
3975,5892,protein_protein,1
41,1235,protein_protein,1
2469,1466,protein_protein,1
662,17808,protein_protein,2
10150,1772,protein_protein,1
6942,9578,protein_protein,1
441,53,protein_protein,1
12599,281,protein_protein,1
13151,5835,protein_protein,1
199,9157,protein_protein,1
4545,5969,protein_protein,1
5484,6609,protein_protein,1
1106,9567,protein_protein,1
853,12119,protein_protein,1
12040,580,protein_protein,1
3082,6431,protein_protein,1
1844,8992,protein_protein,1
337,5767,protein_protein,1
7475,1413,protein_protein,1
8580,9120,protein_protein,1
286,5833,protein_protein,1
11946,15879,protein_protein,2
2791,16249,protein_protein,1
1537,6632,protein_protein,2
4219,5966,protein_protein,1
7153,2774,protein_protein,1
1936,16540,protein_protein,2
2984,1714,protein_protein,1
13655,16480,protein_protein,1
5134,7105,protein_protein,1
955,5828,protein_protein,1
108,2087,protein_protein,1
12343,1429,protein_protein,1
8522,593,protein_protein,1
5503,14897,protein_protein,1
324,6502,protein_protein,1
11371,11482,protein_protein,1
9743,47,protein_protein,1
4472,6518,protein_protein,1
1822,12081,protein_protein,1
12328,15231,protein_protein,1
6531,8079,protein_protein,1
9911,12157,protein_protein,1
8355,471,protein_protein,1
8508,7703,protein_protein,1
6571,14879,protein_protein,1
7010,10656,protein_protein,1
11430,7375,protein_protein,1
4584,228,protein_protein,1
10716,6022,protein_protein,1
742,4368,protein_protein,1
5456,8921,protein_protein,1
818,2627,protein_protein,1
2635,5518,protein_protein,2
1402,9703,protein_protein,1
224,1048,protein_protein,2
12628,866,protein_protein,1
10621,769,protein_protein,1
6596,7790,protein_protein,1
8857,6472,protein_protein,1
1491,11548,protein_protein,1
431,360,protein_protein,2
11175,10955,protein_protein,1
2181,6591,protein_protein,1
9962,2328,protein_protein,1
3148,6590,protein_protein,2
4355,1661,protein_protein,1
553,11868,protein_protein,1
257,11972,protein_protein,1
4999,2885,protein_protein,1
12146,7122,protein_protein,1
1979,5698,protein_protein,1
8170,6980,protein_protein,1
47,1373,protein_protein,1
905,890,protein_protein,1
7450,14705,protein_protein,1
6470,5803,protein_protein,2
6039,11436,protein_protein,1
8147,12458,protein_protein,1
12434,10915,protein_protein,1
1174,4254,protein_protein,1
7803,6858,protein_protein,1
11482,994,protein_protein,1
9997,1802,protein_protein,1
6531,12456,protein_protein,1
256,5040,protein_protein,1
644,13131,protein_protein,2
12013,13178,protein_protein,1
9599,11663,protein_protein,1
1414,2541,protein_protein,1
5665,4492,protein_protein,1
10793,16149,protein_protein,1
32,8187,protein_protein,1
78,2161,protein_protein,1
1638,10135,protein_protein,1
6650,822,protein_protein,2
12353,5530,protein_protein,1
876,5292,protein_protein,1
7737,5822,protein_protein,1
7461,7898,protein_protein,1
13489,12666,protein_protein,1
6931,2306,protein_protein,1
6786,537,protein_protein,1
5503,7696,protein_protein,1
10094,11307,protein_protein,1
1686,6988,protein_protein,1
7089,719,protein_protein,1
673,5145,protein_protein,1
2943,7162,protein_protein,1
5140,846,protein_protein,1
7153,16859,protein_protein,1
12736,8455,protein_protein,1
8229,1516,protein_protein,1
296,8364,protein_protein,1
6788,891,protein_protein,1
98,7885,protein_protein,1
12067,27,protein_protein,1
13606,7002,protein_protein,1
13999,190,protein_protein,1
926,6042,protein_protein,1
552,11314,protein_protein,1
4247,12251,protein_protein,1
6942,3496,protein_protein,1
11620,9207,protein_protein,1
337,11296,protein_protein,1
4760,11757,protein_protein,1
12689,888,protein_protein,1
13446,15170,protein_protein,1
161,5840,protein_protein,2
2048,1669,protein_protein,1
1537,6463,protein_protein,1
6908,4169,protein_protein,1
387,387,protein_protein,1
6039,8317,protein_protein,1
1057,7669,protein_protein,1
3924,5741,protein_protein,1
2881,8398,protein_protein,1
6264,662,protein_protein,1
2543,1306,protein_protein,1
2070,9137,protein_protein,1
11562,11612,protein_protein,1
12047,7432,protein_protein,1
14283,16983,protein_protein,1
1864,7357,protein_protein,2
2294,3813,protein_protein,1
12848,398,protein_protein,1
165,8860,protein_protein,1
13489,870,protein_protein,1
5229,16086,protein_protein,1
2635,1262,protein_protein,2
2009,6713,protein_protein,1
4239,6057,protein_protein,1
3590,1920,protein_protein,1
2276,1202,protein_protein,1
2616,15643,protein_protein,2
862,12282,protein_protein,1
905,3304,protein_protein,1
5823,6240,protein_protein,1
3407,6702,protein_protein,1
6664,2333,protein_protein,2
11553,6402,protein_protein,1
617,3387,protein_protein,1
5274,3151,protein_protein,1
13467,4818,protein_protein,1
11657,3330,protein_protein,1
8727,1185,protein_protein,1
12939,2656,protein_protein,1
6186,2500,protein_protein,1
7013,5119,protein_protein,1
662,18896,protein_protein,2
10394,16815,protein_protein,1
6575,263,protein_protein,1
733,195,protein_protein,1
2079,12620,protein_protein,1
2237,3196,protein_protein,1
2466,14141,protein_protein,1
1772,359,protein_protein,1
7064,11027,protein_protein,1
665,8350,protein_protein,1
4723,4923,protein_protein,1
15266,2243,protein_protein,1
3317,8597,protein_protein,1
3953,5504,protein_protein,1
786,1370,protein_protein,1
9477,8341,protein_protein,1
12522,8881,protein_protein,1
3587,8955,protein_protein,1
5626,213,protein_protein,1
8748,8145,protein_protein,1
12324,447,protein_protein,1
3148,3185,protein_protein,2
3529,9370,protein_protein,1
5847,5871,protein_protein,1
948,1524,protein_protein,1
5841,11539,protein_protein,1
5132,6889,protein_protein,1
14780,15190,protein_protein,1
47,370,protein_protein,1
4180,6092,protein_protein,2
1263,577,protein_protein,1
